ticket_id,customer_id,order_id,ticket_created_date,ticket_category,priority,resolution_hours,csat_score,scenario_phase
1,405,4252,2025-11-28,Late Delivery,High,51,7,Current
2,366,6473,2025-04-01,Late Delivery,Medium,30,3,Current
3,603,3968,2025-11-23,Wrong Item,Critical,69,3,Current
4,287,6375,2024-07-29,Refund Request,Critical,90,4,Current
5,922,9901,2025-01-15,Late Delivery,High,19,6,Current
6,98,1551,2025-12-19,Late Delivery,Medium,35,10,Future
7,6,186,2025-09-15,Refund Request,Medium,14,10,Future
8,80,2715,2025-12-15,Refund Request,Medium,92,3,Current
9,482,4826,2025-03-31,Late Delivery,Medium,21,3,Current
10,858,11447,2025-10-05,Stock Availability,Medium,54,3,Current
11,109,7191,2025-12-13,Wrong Item,Critical,56,6,Current
12,901,7550,2025-06-06,Late Delivery,Medium,44,7,Current
13,537,4138,2025-05-11,Stock Availability,High,20,6,Current
14,538,4395,2024-05-13,Damaged Product,Critical,33,3,Current
15,219,11788,2025-08-14,Order Status,Medium,18,9,Future
16,486,11713,2025-12-24,Refund Request,Medium,31,7,Current
17,300,7053,2025-07-14,Late Delivery,High,56,3,Current
18,125,11432,2025-12-02,Late Delivery,Medium,34,6,Current
19,770,11233,2025-04-24,Stock Availability,High,46,5,Current
20,973,3644,2025-03-20,Order Status,Medium,21,8,Future
21,966,8448,2025-08-17,Wrong Item,Medium,14,9,Future
22,217,607,2025-11-23,Refund Request,Medium,72,3,Current
23,693,11871,2024-12-13,Late Delivery,Medium,18,9,Future
24,739,745,2024-07-16,Refund Request,Critical,79,5,Current
25,942,11911,2025-12-30,Late Delivery,Critical,52,4,Current
26,414,4564,2025-05-15,Order Status,Medium,60,6,Current
27,770,6392,2024-11-28,Refund Request,Medium,76,5,Current
28,863,1844,2025-01-16,Refund Request,Medium,43,6,Current
29,979,3405,2025-07-11,Refund Request,Medium,47,4,Current
30,344,145,2025-10-15,Refund Request,Critical,35,6,Current
31,157,8473,2025-12-10,Damaged Product,Critical,84,6,Current
32,540,9394,2025-02-16,Late Delivery,Low,17,10,Future
33,665,4925,2025-10-23,Refund Request,High,83,4,Current
34,759,10430,2024-03-04,Order Status,Medium,19,10,Future
35,789,2339,2025-11-23,Order Status,Medium,23,7,Future
36,237,9514,2025-03-10,Damaged Product,Critical,21,9,Future
37,88,598,2025-07-15,Wrong Item,Medium,27,7,Current
38,514,6182,2025-06-05,Stock Availability,High,24,4,Current
39,475,11198,2025-10-07,Refund Request,Medium,43,5,Current
40,400,244,2025-09-20,Wrong Item,Low,27,9,Future
41,362,5745,2025-06-27,Late Delivery,High,24,6,Current
42,141,4232,2025-05-14,Stock Availability,High,34,5,Current
43,41,11715,2025-08-25,Late Delivery,Critical,93,7,Current
