snapshot_id,snapshot_date,product_id,store_id,stock_on_hand,stock_reserved,stock_available,reorder_point,days_of_cover,stock_status,scenario_phase
1,2024-02-17,90,3,147,66,81,96,39,Low Stock,Current
2,2025-04-09,108,6,7,47,0,97,6,Stockout,Current
3,2025-01-29,99,3,83,2,81,102,11,Low Stock,Current
4,2024-03-02,46,6,7,44,0,125,14,Stockout,Current
5,2025-04-20,46,1,198,19,179,41,13,Healthy,Future
6,2025-04-14,87,6,36,70,0,98,16,Stockout,Current
7,2025-12-01,48,6,71,79,0,71,15,Stockout,Future
8,2025-11-14,24,5,114,63,51,85,23,Low Stock,Future
9,2024-01-15,100,1,85,67,18,129,31,Low Stock,Future
10,2024-06-28,80,1,120,48,72,123,47,Low Stock,Future
11,2024-04-03,62,4,26,84,0,68,36,Stockout,Current
12,2024-04-14,105,4,50,23,27,65,20,Low Stock,Current
13,2025-02-18,109,1,52,64,0,123,46,Stockout,Current
14,2024-09-10,38,4,295,21,274,100,31,Healthy,Future
15,2025-07-03,58,2,238,40,198,54,50,Healthy,Current
16,2024-01-12,97,5,151,86,65,132,48,Low Stock,Current
17,2025-02-03,101,6,127,52,75,60,26,Healthy,Future
18,2024-02-05,33,1,141,49,92,71,27,Healthy,Future
19,2024-02-06,102,6,353,46,307,102,5,Healthy,Future
20,2024-01-09,81,1,119,45,74,117,15,Low Stock,Current
21,2025-01-19,103,6,86,48,38,66,43,Low Stock,Current
22,2025-03-01,77,1,357,63,294,73,42,Healthy,Future
23,2024-09-08,88,5,1,12,0,42,35,Stockout,Current
24,2024-10-02,120,2,117,37,80,115,39,Low Stock,Current
25,2025-11-18,66,6,9,5,4,94,21,Low Stock,Current
26,2025-02-28,74,3,259,9,250,84,16,Healthy,Future
27,2024-12-27,12,6,103,79,24,86,49,Low Stock,Future
28,2025-05-17,91,3,256,80,176,137,29,Healthy,Future
29,2025-10-24,113,5,130,28,102,45,26,Healthy,Current
30,2024-01-06,54,1,7,88,0,54,10,Stockout,Current
31,2024-03-10,77,6,57,34,23,83,22,Low Stock,Current
32,2024-05-15,28,1,94,34,60,120,23,Low Stock,Current
33,2024-02-17,74,4,11,0,11,55,50,Low Stock,Current
34,2025-09-20,101,6,82,10,72,76,42,Low Stock,Current
35,2024-12-16,53,4,326,64,262,86,47,Healthy,Future
36,2025-06-01,55,1,106,25,81,73,15,Healthy,Current
37,2024-03-29,86,5,129,70,59,50,15,Healthy,Current
38,2024-04-25,35,4,73,58,15,138,41,Low Stock,Current
39,2025-07-17,44,5,37,74,0,137,22,Stockout,Current
40,2024-03-06,107,6,309,3,306,101,12,Healthy,Future
41,2025-10-18,31,6,83,85,0,115,31,Stockout,Current
42,2025-06-25,76,6,86,67,19,108,44,Low Stock,Current
43,2024-01-05,93,2,122,65,57,135,14,Low Stock,Future
44,2025-05-12,78,3,344,89,255,51,25,Healthy,Future
45,2025-11-09,113,5,161,36,125,79,33,Healthy,Future
46,2024-09-30,83,3,256,84,172,109,15,Healthy,Future
47,2024-08-11,51,1,314,27,287,113,16,Healthy,Future
48,2024-10-08,100,6,79,54,25,65,47,Low Stock,Future
49,2024-02-15,96,2,151,86,65,96,11,Low Stock,Future
50,2025-02-04,17,4,85,9,76,121,0,Low Stock,Current
51,2025-07-23,114,3,38,45,0,51,19,Stockout,Current
52,2025-01-16,2,1,128,74,54,61,20,Low Stock,Current
53,2024-11-04,69,6,156,17,139,61,40,Healthy,Future
54,2025-11-23,18,3,1,78,0,50,25,Stockout,Current
55,2025-06-08,87,3,122,45,77,98,33,Low Stock,Future
