order_id,order_date,customer_id,product_id,store_id,quantity,unit_price,discount_amount,gross_sales,net_sales,delivery_delay_days,delivery_status,sales_channel,scenario_phase
1,2025-10-29,863,6,4,3,127.67,20.95,383.01,362.06,0,On Time,Online,Current
2,2025-07-17,416,96,2,3,44.65,16.74,133.95,117.21,0,On Time,Click & Collect,Current
3,2024-11-18,967,42,2,3,65.4,7.94,196.2,188.26,0,On Time,Online,Future
4,2024-12-19,623,3,2,4,182.39,8.55,729.56,721.01,0,On Time,Online,Current
5,2025-12-24,597,67,3,3,214.61,6.8,643.83,637.03,0,On Time,In-Store,Future
6,2024-11-14,327,87,4,3,80.57,30.73,241.71,210.98,0,On Time,In-Store,Current
7,2025-09-29,491,98,2,4,192.94,18.37,771.76,753.39,0,On Time,In-Store,Current
8,2024-02-27,368,56,4,2,166.72,5.95,333.44,327.49,6,Late,Online,Current
9,2025-05-03,846,23,6,3,87.41,1.64,262.23,260.59,0,On Time,Online,Future
10,2024-01-26,232,60,1,4,148.3,22.46,593.2,570.74,1,Late,In-Store,Current
11,2024-03-15,976,97,1,1,54.01,3.44,54.01,50.57,2,Late,Online,Future
12,2024-09-24,850,94,4,1,56.02,3.39,56.02,52.63,0,On Time,Online,Future
13,2024-01-03,761,45,4,3,29.58,27.36,88.74,61.38,0,On Time,In-Store,Future
14,2024-01-01,728,35,3,2,41.4,30.6,82.8,52.2,0,On Time,Online,Future
15,2024-06-19,860,43,6,2,129.42,6.82,258.84,252.02,0,On Time,Online,Current
16,2025-09-25,610,19,4,4,118.63,30.32,474.52,444.2,1,Late,Online,Future
17,2024-11-20,419,80,6,4,119.07,34.88,476.28,441.4,0,On Time,Online,Future
18,2025-02-02,489,72,1,3,141.82,20.01,425.46,405.45,1,Late,Wholesale,Current
19,2025-08-04,855,115,6,3,131.17,20.62,393.51,372.89,0,On Time,Online,Current
20,2024-05-28,680,103,5,1,113.76,7.86,113.76,105.9,0,On Time,In-Store,Current
21,2024-07-31,825,50,1,3,97.72,9.14,293.16,284.02,0,On Time,In-Store,Current
22,2024-02-02,401,40,6,3,35.44,11.11,106.32,95.21,0,On Time,Online,Future
23,2025-06-24,902,25,2,1,27.12,17.37,27.12,9.75,0,On Time,Online,Future
24,2024-11-29,241,66,6,3,105.25,2.13,315.75,313.62,0,On Time,Online,Current
25,2024-01-19,126,109,2,1,65.96,6.87,65.96,59.09,0,On Time,Online,Current
26,2024-01-02,499,16,5,3,103.76,28.29,311.28,282.99,0,On Time,Click & Collect,Current
27,2025-03-18,893,97,2,4,54.01,27.67,216.04,188.37,0,On Time,Online,Current
28,2025-07-27,756,70,6,3,117.81,25.31,353.43,328.12,0,On Time,Online,Current
29,2025-12-27,137,116,3,3,159.24,0.49,477.72,477.23,5,Late,In-Store,Current
30,2024-01-19,79,16,3,1,103.76,31.02,103.76,72.74,0,On Time,Wholesale,Current
31,2024-12-23,496,93,6,2,119.71,7.29,239.42,232.13,0,On Time,Wholesale,Future
32,2025-05-24,164,9,1,3,102.79,7.72,308.37,300.65,0,On Time,Click & Collect,Current
33,2024-05-30,824,37,2,4,141.5,1.41,566.0,564.59,0,On Time,Online,Current
34,2025-06-30,735,40,6,1,35.44,10.62,35.44,24.82,0,On Time,Online,Future
35,2025-09-14,871,20,3,1,93.73,6.39,93.73,87.34,0,On Time,Online,Future
36,2024-12-31,325,70,3,3,117.81,14.96,353.43,338.47,0,On Time,Wholesale,Future
37,2024-12-04,217,83,4,2,73.64,27.42,147.28,119.86,7,Late,Online,Current
38,2024-04-28,985,14,2,2,85.15,22.45,170.3,147.85,0,On Time,Online,Current
39,2024-03-29,173,104,6,4,154.04,28.31,616.16,587.85,0,On Time,Online,Future
40,2025-11-01,921,10,6,4,78.41,3.41,313.64,310.23,0,On Time,Online,Future
41,2025-10-13,75,24,2,3,152.6,4.2,457.8,453.6,0,On Time,Online,Current
42,2025-09-03,788,51,6,4,110.62,8.25,442.48,434.23,0,On Time,Online,Future
43,2024-04-07,35,59,6,1,99.02,25.97,99.02,73.05,0,On Time,Online,Current
44,2025-09-18,172,109,1,3,65.96,33.58,197.88,164.3,0,On Time,Online,Future
45,2025-02-04,209,75,6,3,112.15,25.21,336.45,311.24,0,On Time,Online,Current
46,2024-01-30,253,48,6,2,94.16,14.08,188.32,174.24,0,On Time,Online,Current
47,2024-03-09,498,17,2,4,141.85,3.94,567.4,563.46,0,On Time,Online,Future
48,2025-02-16,866,27,6,4,148.3,24.33,593.2,568.87,1,Late,Online,Current
49,2024-05-04,79,61,1,2,82.33,31.9,164.66,132.76,2,Late,Wholesale,Future
50,2024-01-17,765,93,4,2,119.71,16.19,239.42,223.23,0,On Time,Wholesale,Current
51,2024-02-01,93,8,3,2,62.57,2.57,125.14,122.57,6,Late,Online,Current
52,2024-08-09,848,117,6,2,131.87,22.71,263.74,241.03,0,On Time,Online,Current
53,2024-04-15,69,4,4,2,143.64,26.12,287.28,261.16,5,Late,Online,Current
54,2024-03-03,265,51,1,4,110.62,16.75,442.48,425.73,0,On Time,Online,Future
55,2025-10-07,609,64,2,2,106.6,5.87,213.2,207.33,0,On Time,Wholesale,Current
56,2024-12-10,161,97,6,1,54.01,12.21,54.01,41.8,0,On Time,Online,Future
57,2024-03-02,874,55,1,2,80.85,3.78,161.7,157.92,0,On Time,Online,Future
58,2024-02-28,79,56,6,1,166.72,24.03,166.72,142.69,0,On Time,Online,Current
59,2025-05-07,582,30,6,3,33.3,28.28,99.9,71.62,2,Late,Online,Future
60,2024-12-21,763,68,6,3,76.01,9.35,228.03,218.68,0,On Time,Click & Collect,Current
61,2024-02-15,840,51,1,2,110.62,11.81,221.24,209.43,0,On Time,In-Store,Current
62,2024-12-03,951,113,2,3,120.7,6.47,362.1,355.63,0,On Time,Wholesale,Current
63,2024-07-12,554,30,3,3,33.3,31.69,99.9,68.21,0,On Time,Online,Current
64,2024-01-14,985,30,1,3,33.3,34.78,99.9,65.12,0,On Time,Online,Current
65,2025-04-20,897,22,6,1,118.48,2.47,118.48,116.01,0,On Time,Online,Future
66,2025-10-27,492,70,1,3,117.81,16.68,353.43,336.75,0,On Time,Online,Future
67,2025-12-01,273,40,2,4,35.44,26.93,141.76,114.83,0,On Time,Click & Collect,Current
68,2025-10-17,452,7,2,3,172.34,17.63,517.02,499.39,0,On Time,Wholesale,Future
69,2025-01-30,652,71,5,2,135.62,5.86,271.24,265.38,0,On Time,Click & Collect,Future
70,2024-09-10,45,105,6,1,45.95,14.05,45.95,31.9,0,On Time,Online,Future
71,2025-10-24,548,26,2,3,117.76,33.38,353.28,319.9,0,On Time,Online,Current
72,2024-03-20,720,91,6,3,85.5,29.02,256.5,227.48,7,Late,Online,Current
73,2025-12-20,515,35,6,2,41.4,15.76,82.8,67.04,0,On Time,Online,Future
74,2025-03-26,583,82,6,1,135.39,10.98,135.39,124.41,2,Late,Online,Future
75,2024-03-06,682,100,5,4,91.89,4.63,367.56,362.93,1,Late,Online,Future
76,2025-07-04,832,56,5,4,166.72,12.69,666.88,654.19,0,On Time,Online,Current
77,2024-07-21,215,58,2,4,118.61,18.11,474.44,456.33,0,On Time,Wholesale,Current
78,2025-05-01,117,63,5,3,50.08,1.95,150.24,148.29,0,On Time,In-Store,Current
79,2024-05-02,352,88,1,4,41.48,19.04,165.92,146.88,2,Late,Click & Collect,Current
80,2025-11-20,715,88,2,1,41.48,3.9,41.48,37.58,2,Late,Online,Current
81,2024-11-07,724,55,2,2,80.85,18.71,161.7,142.99,0,On Time,In-Store,Current
82,2025-11-15,559,73,6,4,20.46,33.32,81.84,48.52,0,On Time,Online,Future
83,2024-05-15,948,77,2,3,132.93,7.58,398.79,391.21,0,On Time,Online,Future
84,2024-07-13,993,26,2,1,117.76,15.57,117.76,102.19,0,On Time,Online,Current
85,2024-11-16,355,108,6,3,50.05,25.38,150.15,124.77,0,On Time,Online,Future
86,2025-05-13,822,117,5,2,131.87,25.96,263.74,237.78,0,On Time,Online,Future
87,2024-08-06,860,25,3,4,27.12,13.56,108.48,94.92,0,On Time,Online,Current
88,2025-07-27,121,80,6,2,119.07,7.14,238.14,231.0,0,On Time,Online,Future
89,2025-10-03,140,67,6,3,214.61,21.46,643.83,622.37,0,On Time,Online,Current
90,2024-08-05,936,13,6,4,109.25,4.32,437.0,432.68,0,On Time,Online,Future
91,2025-02-28,596,87,2,3,80.57,13.57,241.71,228.14,0,On Time,Online,Current
92,2024-03-01,339,3,4,4,182.39,26.94,729.56,702.62,0,On Time,Online,Future
93,2025-01-24,123,110,1,4,159.94,6.24,639.76,633.52,0,On Time,Wholesale,Current
94,2025-10-24,565,51,2,4,110.62,29.91,442.48,412.57,0,On Time,Online,Future
95,2025-07-09,293,7,6,4,172.34,28.97,689.36,660.39,0,On Time,Online,Current
96,2025-03-22,840,70,2,1,117.81,26.18,117.81,91.63,0,On Time,Online,Current
97,2024-08-05,119,35,2,3,41.4,25.17,124.2,99.03,0,On Time,Click & Collect,Future
98,2024-10-22,516,10,6,2,78.41,28.41,156.82,128.41,0,On Time,Online,Current
99,2024-08-01,330,106,6,2,28.51,25.47,57.02,31.55,0,On Time,Click & Collect,Current
100,2024-08-12,762,51,4,1,110.62,21.09,110.62,89.53,0,On Time,Wholesale,Current
101,2024-07-02,460,100,2,4,91.89,9.01,367.56,358.55,0,On Time,Online,Current
102,2025-09-01,135,54,6,4,110.37,12.15,441.48,429.33,7,Late,Online,Current
103,2024-10-22,390,38,6,2,97.97,11.77,195.94,184.17,0,On Time,Online,Current
