return_id,order_id,customer_id,product_id,return_date,return_reason,refund_amount,replacement_requested,scenario_phase
1,9200,240,83,2025-12-15,Delivery Delay,56.65,Yes,Current
2,6287,222,2,2025-01-04,Delivery Delay,190.48,No,Future
3,8653,752,37,2025-08-31,Delivery Delay,125.39,Yes,Current
4,10886,102,38,2025-08-12,Changed Mind,85.36,Yes,Future
5,7836,968,104,2024-08-02,Size Issue,139.19,No,Current
6,8294,409,101,2025-08-20,Changed Mind,118.06,No,Current
7,773,210,113,2025-01-04,Delivery Delay,93.79,Yes,Current
8,1198,187,88,2025-09-23,Damaged Product,37.31,Yes,Current
9,7522,311,71,2025-06-12,Damaged Product,97.66,Yes,Future
10,7708,553,84,2025-12-26,Changed Mind,77.2,No,Current
11,3817,383,92,2025-12-21,Size Issue,42.79,No,Current
12,4295,422,99,2025-11-15,Wrong Item,161.57,No,Current
13,11734,86,92,2025-06-21,Size Issue,36.33,Yes,Current
14,6519,282,112,2025-04-09,Damaged Product,146.91,No,Current
15,5997,801,53,2024-09-07,Wrong Item,95.63,Yes,Current
16,1072,610,32,2025-09-26,Size Issue,179.91,No,Future
17,1459,500,112,2025-08-07,Changed Mind,117.44,No,Current
18,2044,207,42,2025-05-08,Delivery Delay,59.73,Yes,Current
19,605,687,17,2025-11-02,Changed Mind,130.29,No,Current
20,4929,899,31,2025-11-13,Damaged Product,45.55,No,Current
21,3281,59,112,2024-07-14,Wrong Item,139.66,Yes,Current
22,505,759,18,2024-10-11,Delivery Delay,46.23,Yes,Current
23,7783,664,99,2025-12-04,Size Issue,135.14,No,Future
24,6662,588,89,2025-11-10,Size Issue,116.92,Yes,Current
25,8953,597,109,2025-11-30,Changed Mind,63.73,No,Current
26,2192,545,69,2025-12-30,Damaged Product,59.04,No,Future
27,9716,845,4,2025-12-25,Wrong Item,123.72,Yes,Current
28,5381,361,6,2025-12-16,Wrong Item,91.8,Yes,Current
29,1098,996,67,2024-05-13,Damaged Product,167.2,No,Current
30,8933,163,83,2024-05-20,Damaged Product,72.0,No,Current
31,6816,144,81,2025-12-30,Delivery Delay,82.79,No,Current
32,2328,824,111,2024-10-06,Size Issue,111.03,Yes,Current
33,4380,454,90,2025-06-23,Damaged Product,66.53,Yes,Current
34,8042,906,28,2025-08-31,Size Issue,121.83,Yes,Future
35,10124,70,1,2024-12-27,Wrong Item,109.57,Yes,Current
36,4361,481,63,2024-12-01,Changed Mind,39.03,Yes,Future
37,5505,296,16,2025-09-30,Delivery Delay,101.66,Yes,Current
38,3751,264,91,2025-12-19,Damaged Product,61.38,Yes,Current
39,913,798,42,2024-08-24,Delivery Delay,64.69,Yes,Current
40,11733,450,83,2024-11-28,Changed Mind,72.54,Yes,Current
41,8956,629,77,2025-03-30,Changed Mind,111.69,Yes,Current
42,5930,423,28,2025-12-28,Size Issue,112.75,No,Current
43,10,232,60,2025-09-21,Delivery Delay,106.69,No,Current
44,2169,398,95,2024-10-02,Delivery Delay,134.34,Yes,Current
45,526,923,93,2025-09-10,Changed Mind,104.99,Yes,Future
46,10218,712,86,2025-08-25,Delivery Delay,89.98,Yes,Current
47,1804,873,41,2024-03-14,Damaged Product,94.2,Yes,Current
48,2605,290,22,2024-11-29,Damaged Product,111.83,Yes,Current
49,10108,61,18,2025-12-30,Damaged Product,47.89,Yes,Current
50,11619,626,95,2025-12-01,Size Issue,118.21,Yes,Future
51,8950,238,54,2025-11-30,Delivery Delay,105.7,No,Current
52,7284,732,98,2025-12-12,Delivery Delay,141.09,No,Future
53,2634,155,12,2024-08-02,Damaged Product,173.99,Yes,Current
54,3662,23,91,2025-06-03,Damaged Product,74.42,Yes,Current
55,5385,991,64,2025-04-01,Size Issue,105.98,Yes,Future
56,4337,382,75,2025-04-01,Wrong Item,101.86,Yes,Current
57,11438,682,70,2025-07-10,Size Issue,102.73,Yes,Current
58,7192,141,102,2024-09-27,Changed Mind,59.84,Yes,Current
59,8031,459,73,2025-11-30,Changed Mind,20.0,No,Future
60,9082,856,72,2024-12-07,Delivery Delay,120.75,Yes,Current
61,10601,463,52,2025-06-18,Damaged Product,20.0,Yes,Current
62,11763,158,91,2025-08-20,Size Issue,65.91,Yes,Current
63,6588,627,82,2025-09-13,Changed Mind,118.04,No,Future
64,9870,688,66,2025-09-26,Wrong Item,93.34,Yes,Current
65,500,873,83,2025-12-21,Damaged Product,55.74,No,Future
66,9241,35,111,2025-06-24,Damaged Product,116.14,Yes,Current
67,5318,330,94,2025-11-18,Delivery Delay,44.53,Yes,Current
68,1958,174,50,2025-08-04,Delivery Delay,72.75,Yes,Current
69,5065,284,43,2025-12-26,Changed Mind,120.97,No,Future
70,9724,691,66,2025-06-06,Size Issue,99.05,No,Future
71,8462,328,62,2025-12-03,Size Issue,171.41,Yes,Current
72,8101,408,117,2025-08-05,Size Issue,96.21,Yes,Future
73,3833,91,14,2025-07-28,Size Issue,69.21,Yes,Current
74,5992,275,65,2024-11-09,Delivery Delay,57.67,Yes,Current
75,11317,236,33,2025-07-19,Changed Mind,171.14,Yes,Current
76,3471,399,116,2024-10-21,Changed Mind,119.47,No,Current
77,1256,695,115,2025-12-16,Changed Mind,92.75,Yes,Future
78,6335,233,26,2025-04-03,Changed Mind,112.44,Yes,Future
79,2320,215,75,2024-10-16,Changed Mind,103.6,No,Future
80,3277,88,104,2024-12-24,Damaged Product,118.04,Yes,Current
81,7929,860,4,2025-11-12,Damaged Product,113.07,No,Future
82,10058,329,18,2025-10-13,Delivery Delay,50.75,Yes,Current
83,9070,779,77,2025-03-14,Size Issue,118.9,Yes,Future
84,4114,127,120,2024-07-05,Size Issue,39.33,No,Future
85,792,372,76,2025-11-17,Wrong Item,91.02,Yes,Current
86,3394,487,72,2024-05-17,Delivery Delay,120.7,Yes,Current
87,9832,525,76,2025-11-28,Delivery Delay,118.24,Yes,Current
