scorecard_id,supplier_id,scorecard_month,on_time_delivery_rate,avg_lead_time_days,defect_rate,supplier_score,scenario_phase
1,1,2025-01-01,73,58,4,60,Current
2,1,2025-02-01,69,63,10,60,Current
3,1,2025-03-01,69,58,9,64,Current
4,1,2025-04-01,72,59,5,64,Current
5,1,2025-05-01,69,62,7,56,Current
6,1,2025-06-01,70,63,7,61,Current
7,1,2025-07-01,70,56,10,61,Current
8,1,2025-08-01,81,53,5,67,Future
9,1,2025-09-01,80,48,5,68,Future
10,1,2025-10-01,81,53,4,70,Future
11,1,2025-11-01,79,48,4,68,Future
12,1,2025-12-01,77,53,4,70,Future
13,2,2025-01-01,62,49,6,72,Current
14,2,2025-02-01,67,48,5,69,Current
15,2,2025-03-01,67,50,9,67,Current
16,2,2025-04-01,62,54,6,73,Current
17,2,2025-05-01,62,50,7,67,Current
18,2,2025-06-01,65,54,10,70,Current
19,2,2025-07-01,65,53,7,71,Current
20,2,2025-08-01,69,41,1,80,Future
21,2,2025-09-01,72,43,3,77,Future
22,2,2025-10-01,72,45,3,77,Future
23,2,2025-11-01,72,39,3,77,Future
24,2,2025-12-01,72,43,2,75,Future
25,3,2025-01-01,76,53,8,70,Current
26,3,2025-02-01,76,52,5,69,Current
27,3,2025-03-01,82,54,8,70,Current
28,3,2025-04-01,78,54,9,76,Current
29,3,2025-05-01,76,58,7,77,Current
30,3,2025-06-01,81,56,7,76,Current
31,3,2025-07-01,78,57,3,73,Current
32,3,2025-08-01,87,45,4,84,Future
33,3,2025-09-01,83,43,4,82,Future
34,3,2025-10-01,86,46,4,84,Future
35,3,2025-11-01,86,45,1,84,Future
36,3,2025-12-01,83,47,5,83,Future
37,4,2025-01-01,81,54,5,71,Current
38,4,2025-02-01,79,55,7,71,Current
39,4,2025-03-01,79,56,6,71,Current
40,4,2025-04-01,78,53,9,68,Current
41,4,2025-05-01,80,51,3,72,Current
42,4,2025-06-01,82,51,8,74,Current
43,4,2025-07-01,81,55,8,68,Current
44,4,2025-08-01,87,42,4,79,Future
45,4,2025-09-01,87,45,1,78,Future
46,4,2025-10-01,85,46,3,82,Future
47,4,2025-11-01,83,46,1,81,Future
48,4,2025-12-01,83,40,2,80,Future
49,5,2025-01-01,61,61,6,48,Current
50,5,2025-02-01,65,62,6,49,Current
51,5,2025-03-01,61,62,7,50,Current
52,5,2025-04-01,62,62,8,48,Current
53,5,2025-05-01,64,59,3,51,Current
54,5,2025-06-01,63,60,5,53,Current
55,5,2025-07-01,65,61,6,47,Current
56,5,2025-08-01,72,52,5,59,Future
57,5,2025-09-01,68,51,4,59,Future
58,5,2025-10-01,69,49,1,60,Future
59,5,2025-11-01,70,53,3,62,Future
60,5,2025-12-01,71,48,5,60,Future
61,6,2025-01-01,92,36,5,82,Current
62,6,2025-02-01,94,36,7,83,Current
63,6,2025-03-01,91,35,7,83,Current
64,6,2025-04-01,91,31,4,80,Current
65,6,2025-05-01,91,29,4,78,Current
66,6,2025-06-01,93,35,5,81,Current
67,6,2025-07-01,89,34,4,76,Current
68,6,2025-08-01,98,20,5,90,Future
69,6,2025-09-01,95,23,3,86,Future
70,6,2025-10-01,95,21,4,87,Future
71,6,2025-11-01,95,22,3,91,Future
72,6,2025-12-01,98,22,1,88,Future
73,7,2025-01-01,86,37,4,87,Current
74,7,2025-02-01,89,33,9,88,Current
75,7,2025-03-01,85,38,5,82,Current
76,7,2025-04-01,87,38,8,89,Current
77,7,2025-05-01,92,40,4,88,Current
78,7,2025-06-01,91,36,8,82,Current
79,7,2025-07-01,92,36,7,86,Current
80,7,2025-08-01,97,27,4,92,Future
81,7,2025-09-01,93,28,2,96,Future
82,7,2025-10-01,95,27,2,91,Future
83,7,2025-11-01,95,28,4,92,Future
84,7,2025-12-01,96,28,3,92,Future
85,8,2025-01-01,92,31,3,77,Current
86,8,2025-02-01,90,25,7,77,Current
87,8,2025-03-01,95,24,3,72,Current
88,8,2025-04-01,90,25,3,72,Current
89,8,2025-05-01,88,24,7,74,Current
90,8,2025-06-01,90,26,4,78,Current
